Open,High,Low,Close,Volume,Dividends,Stock Splits
6636.4228515625,6657.64990234375,6562.955078125,6633.26123046875,615071900,0.0,0.0
6664.66796875,6679.6259765625,6652.90380859375,6661.87890625,142328900,0.0,0.0
6900.22998046875,6931.35888671875,6895.0732421875,6931.35888671875,171457600,0.0,0.0
6966.65576171875,6982.34521484375,6924.22509765625,6953.259765625,233127700,0.0,0.0
6937.828125,6978.5927734375,6937.828125,6939.89208984375,165659400,0.0,0.0
6735.89208984375,6754.51611328125,6666.41015625,6752.2109375,195489700,0.0,0.0
7036.0869140625,7109.60888671875,7036.0869140625,7080.7412109375,259745500,0.0,0.0
7307.11083984375,7309.7822265625,7259.68212890625,7272.796875,123172800,0.0,0.0
7213.30712890625,7247.51806640625,7192.64404296875,7207.94091796875,170270400,0.0,0.0
7326.80322265625,7337.9228515625,7289.341796875,7316.11083984375,230050900,0.0,0.0
7289.158203125,7313.01416015625,7244.9541015625,7288.81298828125,124084200,0.0,0.0
7187.4140625,7266.8681640625,7179.68505859375,7234.19677734375,156560600,0.0,0.0
7203.169921875,7270.7568359375,7201.9150390625,7246.69580078125,154713600,0.0,0.0
